nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Uruguay,3426260,176215,América
México,126705138,1964375,América
Estados Unidos,331893745,9833517,América
Canadá,38929902,9984670,América
España,47450795,505990,Europa
Francia,67750000,643801,Europa
Alemania,83149300,357022,Europa
Italia,58870762,301340,Europa
Reino Unido,67281039,243610,Europa
Japón,125800000,377975,Asia
China,1411750000,9596961,Asia
India,1407563842,3287263,Asia
Corea del Sur,51744876,100210,Asia
Australia,25690000,7692024,Oceanía
Nueva Zelanda,5122600,268021,Oceanía
Egipto,109262178,1002450,África
Sudáfrica,59893885,1221037,África
Nigeria,213401323,923768,África
